Date,time,lab_temperature,reactor_temperature,current,voltage,power
10/10/2020,7:42:06,15.69,15.77,4.39,27.18,119.31
10/10/2020,7:42:18,15.73,15.75,4.64,26.93,125.03
10/10/2020,7:42:43,15.73,15.71,3.68,26.97,99.35
10/10/2020,7:42:57,15.75,15.77,3.84,26.95,103.36
10/10/2020,7:43:12,15.77,15.75,4.59,26.96,123.82
10/10/2020,7:43:24,15.75,15.77,3.84,26.92,103.25
10/10/2020,7:43:35,15.77,15.75,4.04,26.9,108.61
10/10/2020,7:43:47,15.77,15.75,4.64,26.93,125.03
10/10/2020,7:43:58,15.75,15.77,4.09,26.9,109.94
10/10/2020,7:44:09,15.77,15.77,4.64,26.91,124.96
10/10/2020,7:44:21,15.79,15.81,4.24,26.86,113.86
10/10/2020,7:44:32,15.79,15.77,4.84,26.88,130.21
10/10/2020,7:44:44,15.83,15.85,4.79,26.87,128.8
10/10/2020,7:44:57,15.79,15.81,4.84,26.85,130.08
10/10/2020,7:45:08,15.83,15.77,4.84,26.84,130.06
10/10/2020,7:45:20,15.79,15.77,4.79,26.82,128.6
10/10/2020,7:45:41,15.83,15.77,4.29,26.81,114.99
10/10/2020,7:45:53,15.79,15.77,4.84,26.83,129.98
10/10/2020,7:46:08,15.83,15.81,4.9,26.82,131.28
10/10/2020,7:46:23,15.79,15.77,4.9,26.81,131.26
10/10/2020,7:46:37,15.79,15.67,4.84,26.8,129.82
10/10/2020,7:46:48,15.85,15.81,5.05,26.79,135.21
10/10/2020,7:47:04,15.83,15.75,7.47,26.94,201.27
10/10/2020,7:47:20,15.83,15.81,5.05,26.79,135.21
10/10/2020,7:47:36,15.85,15.75,4.29,26.79,114.92
10/10/2020,7:47:47,15.87,15.75,4.44,26.78,118.95
10/10/2020,7:48:03,15.85,15.87,5.05,26.79,135.21
10/10/2020,7:48:16,15.85,15.85,5.05,26.78,135.18
10/10/2020,7:48:31,15.87,15.75,5.05,26.79,135.21
10/10/2020,7:48:48,15.93,15.87,4.59,26.74,122.79
10/10/2020,7:48:59,15.91,15.87,4.69,26.73,125.44
10/10/2020,7:49:10,15.85,15.75,4.79,26.72,128.09
10/10/2020,7:49:25,15.87,15.81,4.69,26.69,125.29
10/10/2020,7:49:36,15.91,15.97,5.25,26.7,140.14
10/10/2020,7:49:47,15.87,15.75,5.4,26.7,144.19
10/10/2020,7:50:03,15.91,15.91,4.69,26.64,125.01
10/10/2020,7:50:16,15.91,15.91,5.5,26.67,146.74
10/10/2020,7:50:32,15.93,15.91,5.6,26.64,149.22
10/10/2020,7:50:47,15.93,15.91,5.6,26.63,149.19
10/10/2020,7:50:59,15.91,15.91,5.6,26.59,148.95
10/10/2020,7:51:12,15.93,15.91,5.86,26.56,155.51
10/10/2020,7:51:28,15.93,15.91,6.01,26.5,159.18
10/10/2020,7:51:40,15.93,15.87,6.11,26.44,161.46
10/10/2020,7:51:56,15.95,15.91,5.75,26.5,152.49
10/10/2020,7:52:08,15.97,15.91,6.11,26.52,161.96
10/10/2020,7:52:21,15.97,16.01,6.01,26.52,159.31
10/10/2020,7:52:32,15.95,15.97,6.06,26.51,160.58
10/10/2020,7:52:46,15.97,16.01,5.8,26.52,153.95
10/10/2020,7:52:57,15.97,15.97,5.91,26.52,156.6
10/10/2020,7:53:17,15.95,15.91,6.11,26.49,161.76
10/10/2020,7:53:29,15.95,15.97,5.55,26.41,146.63
10/10/2020,7:53:41,15.97,16.01,5.8,26.36,153.02
10/10/2020,7:53:51,15.93,15.97,6.26,26.36,165
10/10/2020,7:54:02,15.95,16.01,6.41,26.36,169
10/10/2020,7:54:18,15.93,16.01,6.31,26.36,166.33
10/10/2020,7:54:31,15.95,16.01,5.65,26.36,149.03
10/10/2020,7:54:43,15.95,15.97,5.91,26.36,155.68
10/10/2020,7:54:54,15.95,16.03,6.11,26.43,161.4
10/10/2020,7:55:05,15.91,16.07,5.25,26.47,138.97
10/10/2020,7:55:22,15.91,16.07,6.06,26.52,160.62
10/10/2020,7:55:35,15.91,16.03,6.16,26.49,163.13
10/10/2020,7:55:49,15.91,16.07,5.3,26.44,140.1
